film_title,person_name,role,credit_order,added_at,removed_at,survival_hours,outcome
Youri,Julia Akkermans,cast,2,2026-08-16T09:01:03.898200+00:00,,,attached
"Mr. Nelson, Did You Kill People?",Lily Franky,cast,4,2026-08-16T09:01:10.603839+00:00,,,attached
Lilo & Stitch 2,Chris Sanders,cast,1,2026-08-16T09:02:32.711370+00:00,,,attached
Lilo & Stitch 2,Maia Kealoha,cast,0,2026-08-16T09:02:32.711370+00:00,,,attached
DAU,Susanne Marian,writer,,2026-08-16T09:03:34.400612+00:00,,,attached
DAU,Ilya Khrzhanovsky,writer,,2026-08-16T09:03:34.400612+00:00,,,attached
DAU,Vladimir Sorokin,writer,,2026-08-16T09:03:34.400612+00:00,,,attached
DAU,Ilya Permyakov,writer,,2026-08-16T09:03:34.400612+00:00,,,attached
Sink Hole,Nathan Livingstone,cast,4,2026-08-17T09:00:00.735366+00:00,,,attached
Gatto,Auliʻi Cravalho,cast,,2026-08-17T09:00:30.330854+00:00,2026-08-28T09:00:43.676889+00:00,264.003707,reverted
The Man Who Changed the World,Illeana Douglas,cast,0,2026-08-17T09:01:15.810593+00:00,,,attached
The Man Who Changed the World,Wallace Shawn,cast,3,2026-08-17T09:01:15.810593+00:00,,,attached
The Man Who Changed the World,Jeanine Mason,cast,1,2026-08-17T09:01:15.810593+00:00,,,attached
The Man Who Changed the World,Amie MacKenzie,cast,2,2026-08-17T09:01:15.810593+00:00,,,attached
The Man Who Changed the World,Tanner Hagen,cast,4,2026-08-17T09:01:15.810593+00:00,,,attached
I Matter,Alina Șerban,writer,,2026-08-17T09:01:18.724616+00:00,,,attached
Danger,Nicolas Saada,writer,,2026-08-17T09:02:36.666732+00:00,,,attached
O'Slaughter Day,Andres Mähar,cast,4,2026-08-17T09:04:04.140979+00:00,,,attached
The Goonies 2,Chris Columbus,director,,2026-08-17T09:04:07.715074+00:00,,,attached
Suanggi: Ilmu Kutukan,Dayu Wijanto,cast,4,2026-08-17T09:04:50.673652+00:00,,,attached
